1381,2019-05-20,2,4,5,16,19,38,25,,,2,4,3,2,0,1,0,1.00,200000000,13.00,4792800,293.00,229600,14524.00,4800,223635.00,1000
1380,2019-05-16,1,3,24,26,29,33,42,"1,24",,4,2,2,0,3,1,0,3.00,90915700,4.00,17885400,240.00,321900,11283.00,7200,190198.00,1000
1379,2019-05-13,1,2,19,21,24,37,32,"1,24",,4,2,2,1,2,1,0,1.00,200000000,1.00,70287000,227.00,334300,11153.00,7100,178505.00,1000
1378,2019-05-09,1,10,15,24,35,43,9,"1,24,43",,4,2,2,1,1,1,1,2.00,117942400,9.00,7863000,236.00,323800,10563.00,7600,166435.00,1000
1377,2019-05-06,1,7,13,24,40,43,20,43,,4,2,2,1,1,1,1,2.00,401809500,2.00,44376800,249.00,384900,11683.00,8600,196190.00,1000
1376,2019-05-02,2,5,22,31,32,43,27,"2,5,22,31",2,3,3,2,0,1,2,1,0.00,0,6.00,12929700,227.00,369000,11845.00,7400,176893.00,1000
1375,2019-04-29,2,5,21,22,31,38,28,5,,3,3,2,0,2,2,0,0.00,0,11.00,6275100,253.00,294600,11021.00,7100,179333.00,1000
1374,2019-04-25,1,4,5,19,23,35,36,1,,5,1,3,1,1,1,0,1.00,200000000,2.00,32868500,337.00,210600,13816.00,5400,206320.00,1000
1373,2019-04-22,1,10,13,18,20,41,11,10,,3,3,2,3,0,0,1,2.00,256094200,5.00,17098700,181.00,510100,11130.00,8700,195255.00,1000
1372,2019-04-18,3,5,10,21,33,39,8,5,,5,1,3,0,1,2,0,0.00,0,6.00,11361200,267.00,275700,12534.00,6200,197109.00,1000
1371,2019-04-15,4,5,6,7,24,28,30,24,,2,4,4,0,2,0,0,2.00,452218500,16.00,5141600,422.00,210500,21478.00,4300,308457.00,1000
1370,2019-04-11,8,22,24,30,40,41,2,41,,1,5,1,0,3,1,1,0.00,0,4.00,21354700,167.00,552300,9985.00,9700,181674.00,1000
1369,2019-04-08,12,15,25,32,41,43,7,,,4,2,0,2,1,1,2,0.00,0,4.00,19909400,167.00,515000,9797.00,9200,167043.00,1000
1368,2019-04-04,6,11,17,20,34,35,10,11,,3,3,1,3,0,2,0,1.00,416288200,0.00,0,337.00,256500,11256.00,8100,182061.00,1000
